BPE 2016 - Base permanente des équipements : commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 11/07/2016       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee, Base permanente des équipements 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code IRIS,Libellé IRIS,COM,Libellé commune ou ARM,Région,Département,Hypermarché,Supermarché,Grande surface de bricolage,Supérette,Epicerie,Boulangerie,Boucherie charcuterie,Produits surgelés,Poissonnerie,Librairie papeterie journaux,Magasin de vêtements,Magasin d'équipements du foyer,Magasin de chaussures,Magasin d'électroménager et de matériel audio-vidéo,Magasin de meubles,Magasin d'articles de sports et de loisirs,Magasin de revêtements murs et sols,Droguerie quincaillerie bricolage,Parfumerie,Horlogerie Bijouterie,Fleuriste,Magasin d'optique,Magasin de matériel médical et orthopédique,Station service
IRIS,LIB_IRIS,COM,LIB_COM,REG,DEP,NB_B101,NB_B102,NB_B103,NB_B201,NB_B202,NB_B203,NB_B204,NB_B205,NB_B206,NB_B301,NB_B302,NB_B303,NB_B304,NB_B305,NB_B306,NB_B307,NB_B308,NB_B309,NB_B310,NB_B311,NB_B312,NB_B313,NB_B315,NB_B316
027220501,Centre 1,02722,Soissons,32,02,0,2,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,1,0,0
027220502,Centre 2,02722,Soissons,32,02,0,0,0,1,2,4,4,0,0,2,7,1,1,1,0,2,0,1,0,1,1,1,2,0
027220503,Centre 3,02722,Soissons,32,02,1,0,0,1,3,10,3,0,1,5,47,4,7,1,5,1,0,2,6,5,3,8,2,0
027220601,Chevreux,02722,Soissons,32,02,0,0,1,0,1,0,2,0,0,0,19,1,1,0,1,1,1,0,0,0,2,3,0,0
027220701,Saint-Waast,02722,Soissons,32,02,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0
027220801,Saint-Medard,02722,Soissons,32,02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
027220901,Gare,02722,Soissons,32,02,0,0,0,0,2,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
02722ZZZZ,Non localisé à l'iris,02722,Soissons,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
027380101,Quessy Centre,02738,Tergnier,32,02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027380102,Quessy Cite,02738,Tergnier,32,02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027380201,Vouel,02738,Tergnier,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027380301,Tergnier 1,02738,Tergnier,32,02,0,0,0,0,1,5,1,0,0,2,1,1,0,1,0,0,0,0,0,1,1,1,1,0
027380302,Tergnier 2,02738,Tergnier,32,02,0,2,0,0,1,1,0,1,0,1,1,0,0,1,0,2,0,0,0,0,1,1,0,0
